County,Precinct,Bennet_First_Expression,Bennet_Final_Expression,Bennet_SDE,Biden_First_Expression,Biden_Final_Expression,Biden_SDE,Bloomberg_First_Expression,Bloomberg_Final_Expression,Bloomberg_SDE,Buttigieg_First_Expression,Buttigieg_Final_Expression,Buttigieg_SDE,Delaney_First_Expression,Delaney_Final_Expression,Delaney_SDE,Gabbard_First_Expression,Gabbard_Final_Expression,Gabbard_SDE,Klobuchar_First_Expression,Klobuchar_Final_Expression,Klobuchar_SDE,Patrick_First_Expression,Patrick_Final_Expression,Patrick_SDE,Sanders_First_Expression,Sanders_Final_Expression,Sanders_SDE,Steyer_First_Expression,Steyer_Final_Expression,Steyer_SDE,Warren_First_Expression,Warren_Final_Expression,Warren_SDE,Yang_First_Expression,Yang_Final_Expression,Yang_SDE,Other_First_Expression,Other_Final_Expression,Other_SDE,Uncommitted_First_Expression,Uncommitted_Final_Expression,Uncommitted_SDE
Benton,Benton_Canton_Shellsburg,0.0,0.0,0.0,28.0,31.0,0.6,0.0,0.0,0.0,23.0,29.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,0.225,4.0,0.0,0.0,15.0,15.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benton,Vinton_2,0.0,0.0,0.0,8.0,8.0,0.075,0.0,0.0,0.0,9.0,9.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,8.0,9.0,0.15,0.0,0.0,0.0,7.0,8.0,0.15,1.0,0.0,0.0,6.0,6.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benton,Belle_Plaine_3,0.0,0.0,0.0,7.0,9.0,0.15,0.0,0.0,0.0,6.0,7.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.15,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benton,Vinton_1,0.0,0.0,0.0,22.0,22.0,0.375,0.0,0.0,0.0,14.0,14.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.15,0.0,0.0,0.0,12.0,12.0,0.15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benton,Eden_Harrison_Taylor,0.0,0.0,0.0,10.0,10.0,0.15,0.0,0.0,0.0,13.0,15.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.15,0.0,0.0,0.0,7.0,9.0,0.15,5.0,0.0,0.0,8.0,9.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black_Hawk,Barclay_Lester_Dunkerton,0.0,0.0,0.0,11.0,18.0,0.202,0.0,0.0,0.0,15.0,18.0,0.404,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,0.202,9.0,10.0,0.202,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Black_Hawk,CF_W2_P2_&_CF_Twp,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,72.0,76.0,0.808,0.0,0.0,0.0,0.0,0.0,0.0,44.0,58.0,0.606,0.0,0.0,0.0,80.0,87.0,1.01,9.0,0.0,0.0,38.0,42.0,0.404,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Black_Hawk,Poyner_P1_&_East_Wloo,0.0,0.0,0.0,9.0,14.0,0.202,0.0,0.0,0.0,10.0,12.0,0.202,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.202,2.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black_Hawk,WL_5_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.202,0.0,0.0,0.0,11.0,11.0,0.202,2.0,0.0,0.0,7.0,7.0,0.202,3.0,5.0,0.202,0.0,0.0,0.0,0.0,0.0,0.0
Black_Hawk,CF_W1_P2,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,67.0,77.0,0.606,0.0,0.0,0.0,0.0,0.0,0.0,56.0,76.0,0.606,0.0,0.0,0.0,98.0,103.0,1.01,11.0,0.0,0.0,75.0,84.0,0.808,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black_Hawk,WL_3_5,0.0,0.0,0.0,21.0,23.0,0.404,0.0,0.0,0.0,19.0,19.0,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,1.01,2.0,0.0,0.0,19.0,19.0,0.404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Black_Hawk,CF_W1_P3,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,58.0,90.0,0.808,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,141.0,154.0,1.414,4.0,0.0,0.0,75.0,85.0,0.808,23.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Black_Hawk,Mt_Vernon,0.0,0.0,0.0,9.0,11.0,0.202,0.0,0.0,0.0,6.0,9.0,0.202,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.202,0.0,0.0,0.0,7.0,10.0,0.202,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Black_Hawk,Evansdale_W4,0.0,0.0,0.0,6.0,7.0,0.202,0.0,0.0,0.0,13.0,15.0,0.202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.202,0.0,0.0,0.0,4.0,7.0,0.202,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
